#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-06-04T23:29:25 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b15cb297d6b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/PASP/129/E4501&tab:{J/PASP/129/E4501/table1}&key:source=J/PASP/129/E4501&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/PASP/129/E4501/table1
#-order=I
#-out=Star
#-out=RAJ2000
#-out=DEJ2000
#-out=Ep
#-out=Vmag
#-out=SpType
#-out=Dist
#-out=pmRA
#-out=pmDE
#-out=SimbadName
#

#RESOURCE=yCat_61303501
#Name: J/PASP/129/E4501
#Title: Search for extraterrestrial intelligence (Isaacson+, 2017)
#Table	J_PASP_129_E4501_table1:
#Name: J/PASP/129/E4501/table1
#Title: Stellar Targets
#Column	Star	(A9)	Star name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Ep	(I4)	[2000] Epoch	[ucd=time.epoch]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	SpType	(a7)	Spectral type	[ucd=src.spType]
#Column	Dist	(F5.2)	Distance	[ucd=pos.distance;pos.heliocentric]
#Column	pmRA	(F5.2)	Proper motion along RA, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F5.2)	Proper motion along DE	[ucd=pos.pm;pos.eq.dec]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
Star|RAJ2000|DEJ2000|Ep|Vmag|SpType|Dist|pmRA|pmDE|SimbadName
HIP13772 |02 57 14.7|-24 58 10|2000| 7.33|K1/K2V |22.40| 0.03|-0.04|HIP13772
HIP13782 |02 57 23.8|-23 51 43|2000| 5.44|A5IV/V |48.60| 0.10|-0.04|HIP13782
HIP13834 |02 58 05.2|+20 40 07|2000| 5.80|F5IV   |31.80| 0.23|-0.03|HIP13834
HIP13976 |03 00 02.8|+07 44 59|2000| 7.97|G5     |23.40| 0.33| 0.02|HIP13976
HIP14146 |03 02 23.5|-23 37 28|2000| 4.08|A4V    |26.40|-0.15|-0.06|HIP14146
HIP14150 |03 02 26.0|+26 36 33|2000| 6.62|G8V    |21.10| 0.23|-0.17|HIP14150
HIP14286 |03 04 09.6|+61 42 21|2000| 6.64|G4V    |22.80| 0.72|-0.69|HIP14286
HIP14293 |03 04 16.5|-07 36 03|2000| 5.26|A8V    |43.00| 0.07| 0.02|HIP14293
HIP14445 |03 06 26.7|+01 57 54|2000| 9.07|M0V    |14.70| 0.39|-0.93|HIP14445
HIP14576 |03 08 10.1|+40 57 20|2000| 2.09|B8V    |28.40| 0.00| 0.00|HIP14576
HIP14587 |03 08 22.4|-60 10 21|2000| 9.27|K5V    |21.40| 0.21| 0.13|HIP14587
HIP14632 |03 09 04.0|+49 36 47|2000| 4.05|G0V    |10.50| 1.26|-0.09|HIP14632
HIP14633 |03 09 04.5|+76 02 28|2000| 9.82|M0     |21.30| 0.19|-0.49|HIP14633
HIP14668 |03 09 29.8|+44 51 27|2000| 3.79|K0III  |34.40| 0.17|-0.14|HIP14668
HIP14669 |03 09 30.8|+45 43 57|2000|10.10|M2     |15.40|-0.43|-0.38|HIP14669
HIP14729 |03 10 15.2|+12 03 01|2000| 9.38|K5     |27.00| 0.25|-0.15|HIP14729
HIP14862 |03 11 56.3|+74 23 37|2000| 4.85|A2Vnn  |49.60| 0.01|-0.09|HIP14862
HIP14954 |03 12 46.4|-01 11 46|2000| 5.07|F8V    |22.30| 0.19|-0.07|HIP14954
HIP15095 |03 14 44.6|-26 26 46|2000| 9.17|K5V    |18.30| 0.22| 0.10|HIP15095
HIP15099 |03 14 47.2|+08 58 50|2000| 7.83|K0     |22.20| 0.40|-0.40|HIP15099
HIP15131 |03 15 06.4|-45 39 53|2000| 6.75|G3V    |24.30|-0.13| 0.14|HIP15131
HIP15197 |03 15 50.0|-08 49 11|2000| 4.80|A5m    |36.70| 0.00| 0.05|HIP15197
HIP15201 |03 15 57.7|-77 23 18|2000| 5.51|F4III  |29.30| 0.11| 0.06|HIP15201
HIP15220 |03 16 13.8|+58 10 02|2000|10.50|M2     |13.40| 0.43|-0.32|HIP15220
HIP15330 |03 17 46.2|-62 34 31|2000| 5.53|G2V    |12.10| 1.34| 0.65|HIP15330
HIP15371 |03 18 12.8|-62 30 22|2000| 5.24|G1V    |12.00| 1.33| 0.65|HIP15371
HIP15411 |03 18 41.1|-18 33 35|2000| 5.72|F3V    |36.50| 0.12|-0.06|HIP15411
HIP15457 |03 19 21.7|+03 22 12|2000| 4.84|G5Vvar | 9.15| 0.27| 0.09|HIP15457
HIP15510 |03 19 55.6|-43 04 11|2000| 4.26|G8V    | 6.05| 3.04| 0.73|HIP15510
HIP15638 |03 21 21.8|+79 58 02|2000|11.20|M2:    |13.70| 0.41| 0.28|HIP15638
HIP15648 |03 21 26.6|+43 19 46|2000| 4.96|A3V    |47.60|-0.06| 0.00|HIP15648
HIP15673 |03 21 54.8|+52 19 53|2000| 9.05|K5     |22.70|-0.31|-0.27|HIP15673
HIP15771 |03 23 15.9|-49 59 38|2000|10.20|K0     |19.90| 0.23| 0.26|HIP15771
HIP15774 |03 23 17.2|-49 59 30|2000| 8.58|K3V    |19.70| 0.25| 0.27|HIP15774
HIP15797 |03 23 33.5|+43 57 26|2000| 8.98|K2     |25.50| 0.12|-0.33|HIP15797
HIP15799 |03 23 35.3|-40 04 35|2000| 6.90|K0V    |17.00| 0.04| 0.04|HIP15799
HIP15919 |03 24 59.7|-05 21 49|2000| 7.86|K5V    |15.10|-0.23|-0.77|HIP15919
HIP16069 |03 26 59.2|-63 29 56|2000| 8.08|K5V    |16.30| 0.36|-0.25|HIP16069
HIP16134 |03 27 52.4|-19 48 16|2000| 8.39|K5V    |12.60| 0.54| 0.30|HIP16134
HIP16245 |03 29 22.7|-62 56 15|2000| 4.71|F5IV-V |21.40| 0.38| 0.37|HIP16245
HIP16499 |03 32 26.3|+46 03 24|2000| 5.30|F4IIIva|36.40|-0.05|-0.07|HIP16499
GJ144    |03 32 55.8|-09 27 29|2000| 3.73|K2.0V  | 3.21|-0.98| 0.02|GJ144
HIP16536 |03 32 55.9|-44 42 07|2000|11.40|---    |10.80|-0.31| 0.13|HIP16536
HIP16711 |03 35 00.9|-48 25 08|2000| 8.57|K7V    |13.30| 0.40| 0.31|HIP16711
GJ1061   |03 35 59.7|-44 30 45|2000|13.00|M5.0V  | 3.67| 0.73|-0.38|GJ1061
HIP16846 |03 36 47.3|+00 35 15|2000| 5.82|G5IV/V |28.90|-0.03|-0.16|HIP16846
HIP16852 |03 36 52.4|+00 24 05|2000| 4.29|F9V    |13.70|-0.23|-0.48|HIP16852
HIP17027 |03 39 01.1|-05 37 34|2000| 5.97|K1V    |35.10|-0.01|-0.21|HIP17027
LP944-020|03 39 35.2|-35 25 41|2000|18.60|M9.0V  | 4.96| 0.32| 0.30|LP944-020
HIP17147 |03 40 22.1|-03 13 01|2000| 6.68|F9V    |24.30| 0.69|-0.21|HIP17147
HIP17157 |03 40 29.4|-47 55 30|2000| 9.59|K7     |25.10| 0.10| 0.10|HIP17157
HIP17346 |03 42 44.7|-24 27 58|2000| 9.20|K5V    |25.90| 0.02|-0.37|HIP17346
HIP17378 |03 43 14.9|-09 45 48|2000| 3.52|K0IV   | 9.04|-0.09| 0.74|HIP17378
HIP17395 |03 43 33.8|+10 29 08|2000| 5.59|A5m    |42.90|-0.01|-0.02|HIP17395
HIP17405 |03 43 45.2|+16 40 02|2000|10.80|M1     |16.20| 0.16|-0.31|HIP17405
HIP17414 |03 43 52.6|+16 40 19|2000| 9.99|M2     |17.20| 0.16|-0.32|HIP17414
HIP17420 |03 43 55.3|-19 06 39|2000| 7.10|K2V    |14.00| 0.31| 0.16|HIP17420
HIP17439 |03 44 09.2|-38 16 54|2000| 6.99|K1V    |16.20| 0.21| 0.29|HIP17439
HIP17440 |03 44 12.0|-64 48 24|2000| 3.84|K0IV SB|30.50| 0.31| 0.08|HIP17440
HIP17496 |03 44 51.1|+11 55 12|2000| 9.13|K8V:   |21.80| 0.32| 0.13|HIP17496
HIP17544 |03 45 24.1|-27 51 44|2000| 8.21|K2V    |21.70| 0.32| 0.14|HIP17544
HIP17609 |03 46 20.1|+26 12 55|2000| 9.61|K5     |14.50| 0.39|-0.20|HIP17609
HIP17651 |03 46 50.9|-23 14 59|2000| 4.22|F3/F5V |17.90|-0.16|-0.53|HIP17651
HIP17666 |03 47 02.1|+41 25 38|2000| 7.67|K1V    |24.40| 0.60|-1.24|HIP17666
HIP17749 |03 48 01.0|+68 40 22|2000| 9.17|K0     |17.30| 0.13| 0.24|HIP17749
HIP17797 |03 48 35.9|-37 37 12|2000| 4.30|A+...  |49.40| 0.08|-0.01|HIP17797
HIP17978 |03 50 35.5|-42 33 55|2000| 8.61|K2V    |26.70| 0.20| 0.62|HIP17978
HIP18267 |03 54 28.0|+16 36 57|2000| 6.81|G0     |20.60| 0.22|-0.17|HIP18267
HIP18280 |03 54 35.5|-06 49 33|2000| 9.02|M0V    |15.40| 0.00| 0.53|HIP18280
HIP18324 |03 55 03.8|+61 10 00|2000| 7.84|K0V    |21.20| 0.44|-0.25|HIP18324
HIP18413 |03 56 11.5|+59 38 30|2000| 6.53|G0     |21.30|-0.28| 0.16|HIP18413
HIP18450 |03 56 36.4|-41 20 36|2000| 8.85|K5V    |17.60| 0.06| 0.09|HIP18450
HIP18512 |03 57 28.7|-01 09 34|2000| 8.07|K4V    |15.70|-0.18|-0.14|HIP18512
HIP18774 |04 01 19.6|+76 09 33|2000| 8.20|K4V    |15.90| 0.33|-0.55|HIP18774
HIP18859 |04 02 36.7|-00 16 08|2000| 5.38|F5V    |19.20| 0.15|-0.25|HIP18859
HIP18907 |04 03 09.4|+05 59 21|2000| 3.91|A1V    |39.60| 0.01| 0.00|HIP18907
HIP18975 |04 03 56.6|+08 11 50|2000| 5.45|F2V    |35.90| 0.17| 0.03|HIP18975
HIP19076 |04 05 20.3|+22 00 32|2000| 5.90|G5V    |16.70| 0.17|-0.13|HIP19076
HIP19165 |04 06 34.8|-20 51 11|2000| 9.70|K7     |23.50| 0.05|-0.78|HIP19165
HIP19205 |04 07 00.5|+29 00 04|2000| 5.21|F1V    |27.50|-0.09| 0.00|HIP19205
HIP19233 |04 07 21.5|-64 13 20|2000| 6.37|G3V    |23.10| 0.19| 0.34|HIP19233
HIP19255 |04 07 34.3|+38 04 28|2000| 7.13|G5     |20.50| 0.17|-0.23|HIP19255
HIP19333 |04 08 35.7|-59 31 36|2000| 9.71|K4V    |25.60|-0.08|-0.12|HIP19333
HIP19335 |04 08 36.6|+38 02 23|2000| 5.52|F7V    |21.30| 0.16|-0.20|HIP19335
HIP19337 |04 08 37.4|+33 38 13|2000|10.10|M1     |13.60| 0.52| 0.13|HIP19337
HIP19422 |04 09 35.0|+69 32 28|2000| 7.70|G5     |18.40| 0.07|-0.30|HIP19422
HIP19554 |04 11 20.3|+05 31 22|2000| 5.71|F4V    |38.60| 0.15| 0.00|HIP19554
HIP19655 |04 12 42.2|+70 12 05|2000| 9.73|M0V:   |25.80|-0.10| 0.03|HIP19655
HIP19719 |04 13 33.1|+07 42 57|2000| 5.29|F3V... |36.90| 0.00| 0.00|HIP19719
HIP19747 |04 14 00.1|-42 17 39|2000| 3.85|K1III  |35.90| 0.04|-0.20|HIP19747
HIP19832 |04 15 09.5|-04 25 05|2000| 9.38|K5V    |20.40| 0.10|-0.09|HIP19832
GJ166    |04 15 16.3|-07 39 09|2000| 4.43|K0.5V  | 4.98|-2.24|-3.42|GJ166A
HIP19849 |04 15 16.3|-07 39 10|2000| 4.43|K1V    | 5.04|-2.24|-3.42|HIP19849
GJ166BC  |04 15 21.7|-07 39 16|2000| 9.52|M5V    | 4.98|-2.18|-3.44|GJ166B
HIP19855 |04 15 25.8|+06 11 58|2000| 6.94|G5IV   |20.80|-0.10|-0.11|HIP19855
HIP19859 |04 15 28.8|+06 11 12|2000| 6.32|G0IV...|21.10|-0.11|-0.11|HIP19859
HIP19884 |04 15 56.9|-53 18 35|2000| 7.64|K5V    |13.00| 0.78| 0.40|HIP19884
HIP19893 |04 16 01.6|-51 29 11|2000| 4.26|F4III  |20.30| 0.10| 0.18|HIP19893
HIP19921 |04 16 29.0|-59 18 07|2000| 4.44|K2IV   |18.20|-0.05|-0.17|HIP19921
HIP19930 |04 16 32.7|+36 30 06|2000| 8.25|K2     |25.50|-0.03|-0.23|HIP19930
HIP19990 |04 17 15.7|+20 34 42|2000| 4.93|A3m    |28.60|-0.04|-0.06|HIP19990
HIP20219 |04 19 57.7|+14 02 06|2000| 5.58|F3V... |44.80| 0.12|-0.02|HIP20219
HIP20261 |04 20 36.3|+15 05 43|2000| 5.26|F0V    |47.10| 0.11|-0.02|HIP20261
HIP20542 |04 24 05.8|+17 26 38|2000| 4.80|A7V    |44.70| 0.11|-0.03|HIP20542
HIP20635 |04 25 22.2|+22 17 37|2000| 4.21|A7IV-V |47.00| 0.11|-0.04|HIP20635
HIP20641 |04 25 25.0|+22 11 59|2000| 5.27|A7V    |44.10| 0.11|-0.05|HIP20641
HIP20648 |04 25 29.4|+17 55 40|2000| 4.30|A2IV   |45.30| 0.11|-0.03|HIP20648
HIP20713 |04 26 20.7|+15 37 05|2000| 4.48|F0V... |47.90| 0.11|-0.03|HIP20713
HIP20842 |04 28 00.8|+21 37 11|2000| 5.72|Am     |47.90| 0.10|-0.04|HIP20842
HIP20901 |04 28 50.2|+13 02 51|2000| 5.02|A7V    |49.10| 0.11|-0.02|HIP20901
HIP20917 |04 29 00.1|+21 55 21|2000| 8.30|K7V    |11.40|-0.07| 0.18|HIP20917
HIP21029 |04 30 33.6|+16 11 38|2000| 4.78|A6IV   |44.30| 0.10|-0.03|HIP21029
HIP21036 |04 30 37.4|+13 43 27|2000| 5.40|F0V    |45.70| 0.11|-0.02|HIP21036
HIP21039 |04 30 38.9|+15 41 30|2000| 5.47|Am     |44.30| 0.10|-0.02|HIP21039
HIP21223 |04 33 09.3|-36 56 45|2000| 8.74|K4V    |25.00|-0.02| 0.04|HIP21223
HIP21248 |04 33 30.6|-29 45 59|2000| 4.49|K0III  |38.10|-0.11|-0.27|HIP21248
HIP21272 |04 33 50.4|+05 23 06|2000| 7.92|K0     |26.70|-0.09|-0.28|HIP21272
HIP21273 |04 33 50.9|+14 50 39|2000| 4.65|A8V    |46.70| 0.10|-0.03|HIP21273
HIP21284 |04 34 01.2|-43 31 28|2000| 8.81|K5V    |22.40| 0.06|-0.08|HIP21284
HIP21402 |04 35 39.3|+10 09 38|2000| 4.25|A5m    |46.10| 0.04|-0.05|HIP21402
HIP21421 |04 35 55.2|+16 30 33|2000| 0.87|K5III  |19.90| 0.06|-0.19|HIP21421
HIP21482 |04 36 48.2|+27 07 55|2000| 8.10|K2     |17.80| 0.23|-0.15|HIP21482
HIP21547 |04 37 36.1|-02 28 24|2000| 5.22|F0V    |29.70| 0.04|-0.06|HIP21547
HIP21553 |04 37 40.9|+52 53 37|2000| 8.62|K8V    |10.10| 0.31|-0.48|HIP21553
HIP21556 |04 37 41.9|-11 02 19|2000|10.30|M1     |11.00|-0.23|-0.19|HIP21556
HIP21589 |04 38 09.5|+12 30 38|2000| 4.27|A6V    |45.80| 0.10|-0.01|HIP21589
HIP21594 |04 38 10.8|-14 18 14|2000| 3.86|K1III  |33.50|-0.08|-0.18|HIP21594
HIP21673 |04 39 09.2|+15 47 59|2000| 5.08|A4m    |46.50| 0.03|-0.08|HIP21673
HIP21683 |04 39 16.5|+15 55 04|2000| 4.67|A5Vn   |48.70| 0.08|-0.02|HIP21683
HIP21770 |04 40 33.7|-41 51 49|2000| 4.44|F2V    |20.10|-0.14|-0.07|HIP21770
HIP21818 |04 41 18.9|+20 54 05|2000| 8.09|K3V    |13.40|-0.23|-0.25|HIP21818
HIP21861 |04 42 03.5|-37 08 39|2000| 5.04|F3V    |27.60| 0.05| 0.19|HIP21861
HIP21932 |04 42 55.8|+18 57 29|2000| 9.95|M2     | 9.41| 0.66|-1.11|HIP21932
HIP21988 |04 43 35.4|+27 41 14|2000| 8.00|K5III  |22.30| 0.05|-0.27|HIP21988
HIP22044 |04 44 25.8|+11 08 46|2000| 5.39|F0V    |48.20| 0.10|-0.01|HIP22044
HIP22122 |04 45 38.6|-50 04 27|2000| 7.58|K0V    |20.40|-0.45|-0.34|HIP22122
HIP22263 |04 47 36.3|-16 56 04|2000| 5.49|G3V    |13.30| 0.13| 0.17|HIP22263
HIP22287 |04 48 00.3|+56 45 25|2000| 5.29|A3m    |49.70| 0.05|-0.15|HIP22287
HIP22288 |04 48 01.1|+10 56 01|2000| 9.53|K7V    |26.10| 0.08|-0.11|HIP22288
HIP22361 |04 48 50.4|+75 56 28|2000| 5.96|A9IV   |45.60| 0.04|-0.13|HIP22361
HIP22449 |04 49 50.4|+06 57 40|2000| 3.19|F6V    | 8.02| 0.46| 0.01|HIP22449
HIP22451 |04 49 52.3|-35 06 27|2000| 7.49|K2V    |17.90|-0.03|-0.11|HIP22451
HIP22498 |04 50 25.1|+63 19 58|2000| 9.99|K7     |23.40| 0.22|-0.19|HIP22498
HIP22531 |04 50 55.3|-53 27 41|2000| 5.58|F0IV...|37.00|-0.08| 0.09|HIP22531
HIP22627 |04 52 05.7|+06 28 35|2000|11.90|M4     |12.10| 0.15|-0.31|HIP22627
HIP22715 |04 53 04.7|+22 14 06|2000| 8.78|K5V    |26.90| 0.15|-0.13|HIP22715
HIP22738 |04 53 31.2|-55 51 37|2000|10.70|M2Ve   |11.10| 0.13| 0.07|HIP22738
HIP22762 |04 53 50.0|-17 46 24|2000|10.90|M3     |12.30| 0.41|-0.64|HIP22762
HIP22787 |04 54 04.2|-35 24 16|2000| 7.60|K0V    |25.90| 0.13| 0.16|HIP22787
HIP22844 |04 54 53.0|-58 32 51|2000| 6.11|F3V    |30.80| 0.10| 0.07|HIP22844
HIP22845 |04 54 53.7|+10 09 02|2000| 4.64|A0V    |36.90| 0.04|-0.13|HIP22845
HIP22907 |04 55 41.9|-28 33 50|2000| 8.13|K3/K4V |17.90| 0.19|-0.23|HIP22907
HIP23147 |04 58 50.6|+49 50 57|2000| 9.80|M2     |16.50| 0.11|-0.11|HIP23147
HIP23179 |04 59 15.4|+37 53 24|2000| 4.93|A1V    |48.70| 0.05|-0.10|HIP23179
HIP23296 |05 00 39.8|-02 03 57|2000| 6.31|A8IV   |49.50|-0.01| 0.00|HIP23296
HIP23309 |05 00 47.1|-57 15 25|2000|10.00|---    |26.20| 0.04| 0.07|HIP23309
HIP23311 |05 00 49.0|-05 45 13|2000| 6.22|K3V    | 8.81| 0.55|-1.11|HIP23311
HIP23437 |05 02 17.1|-56 04 49|2000| 7.02|G5V    |22.20|-0.05| 0.73|HIP23437
HIP23452 |05 02 28.4|-21 15 23|2000| 8.31|M0V    | 8.51|-0.14|-0.22|HIP23452
HIP23482 |05 02 48.7|-49 09 05|2000| 5.37|F2V    |26.10|-0.04| 0.03|HIP23482
HIP23497 |05 03 05.7|+21 35 23|2000| 4.62|A7V    |49.90| 0.07|-0.04|HIP23497
HIP23512 |05 03 20.1|-17 22 24|2000|11.70|K:     | 9.27|-0.23|-0.45|HIP23512
HIP23516 |05 03 21.9|-23 15 00|2000| 9.28|K5V    |26.30| 0.25| 0.16|HIP23516
HIP23693 |05 05 30.7|-57 28 21|2000| 4.71|F7V    |11.60|-0.03| 0.12|HIP23693
HIP23708 |05 05 47.4|-57 33 13|2000| 8.98|K7V    |11.50|-0.03| 0.12|HIP23708
HIP23783 |05 06 40.6|+51 35 51|2000| 4.98|F0V    |26.20|-0.03|-0.17|HIP23783
HIP23786 |05 06 42.2|+14 26 46|2000| 7.74|K0V    |23.90| 0.28|-0.24|HIP23786
HIP23875 |05 07 51.0|-05 05 11|2000| 2.78|A3IIIva|27.20|-0.08|-0.08|HIP23875
HIP23932 |05 08 35.0|-18 10 19|2000|10.20|M5     | 9.31| 0.50|-1.40|HIP23932
HIP23941 |05 08 43.7|-04 27 22|2000| 5.11|F2V    |25.00| 0.06| 0.02|HIP23941
GJ191    |05 11 40.6|-45 01 06|2000| 8.85|M2.0V  | 3.91| 6.50|-5.73|GJ191
HIP24284 |05 12 42.2|+19 39 56|2000|10.80|M5     |12.70| 0.28| 0.24|HIP24284
HIP24332 |05 13 17.4|+37 20 14|2000| 6.48|F8     |25.90|-0.14|-0.14|HIP24332
HIP24340 |05 13 25.7|+38 29 04|2000| 4.82|A4m    |49.80|-0.02|-0.07|HIP24340
HIP24454 |05 14 48.1|+00 39 43|2000| 9.97|K2III  |26.20| 0.24|-0.45|HIP24454
HIP24659 |05 17 29.1|-34 53 42|2000| 4.81|K0/K1II|33.70| 0.09|-0.34|HIP24659
HIP24783 |05 18 47.2|-21 23 37|2000| 9.35|K4V    |20.20|-0.14|-0.04|HIP24783
HIP24786 |05 18 50.5|-18 07 48|2000| 5.96|G0V    |24.90| 0.38| 0.06|HIP24786
HIP24813 |05 19 08.5|+40 05 56|2000| 4.69|G0V    |12.60| 0.52|-0.66|HIP24813
HIP24819 |05 19 12.7|-03 04 25|2000| 7.77|K3V    |16.80| 0.70| 0.14|HIP24819
HIP24874 |05 19 59.6|-15 50 22|2000| 8.72|K3V    |24.30| 0.17| 0.20|HIP24874
HIP25110 |05 22 33.5|+79 13 52|2000| 5.08|F6V    |20.90|-0.08| 0.16|HIP25110
HIP25119 |05 22 37.5|+02 36 11|2000| 7.76|K3V    |19.90| 0.05|-0.14|HIP25119
HIP25220 |05 23 38.4|+17 19 26|2000| 7.93|K2     |14.30| 0.25| 0.00|HIP25220
HIP25278 |05 24 25.5|+17 23 00|2000| 5.00|F8V SB |14.60| 0.25|-0.01|HIP25278
HIP25283 |05 24 30.2|-38 58 10|2000| 9.08|K2     |17.70| 0.04|-0.06|HIP25283
HIP25421 |05 26 14.7|-32 30 17|2000| 7.70|K2/K3V |17.90| 0.25|-0.09|HIP25421
HIP25486 |05 27 04.8|-11 54 03|2000| 6.30|F7V:   |26.80| 0.02|-0.05|HIP25486
HIP25544 |05 27 39.4|-60 24 57|2000| 6.99|G5V    |19.50|-0.15|-0.09|HIP25544
HIP25578 |05 28 00.2|+09 38 38|2000|12.40|M5     | 8.69|-0.19|-0.76|HIP25578
HIP25623 |05 28 26.1|-03 29 58|2000| 7.65|K5V    |12.90|-0.31|-0.80|HIP25623
HIP25647 |05 28 44.8|-65 26 54|2000| 6.88|K1III(p|14.90| 0.03| 0.15|HIP25647
HIP25775 |05 30 14.0|-42 41 50|2000| 9.72|M0V    |19.30| 0.03|-0.15|HIP25775
HIP25878 |05 31 27.4|-03 40 38|2000| 7.97|M1V    | 5.69| 0.76|-2.09|HIP25878
HIP25918 |05 31 53.0|-76 20 27|2000| 5.18|K4III  |30.80| 0.14| 0.29|HIP25918
HIP26335 |05 36 31.0|+11 19 40|2000| 8.78|K7     |11.30| 0.00|-0.06|HIP26335
HIP26366 |05 36 54.4|+09 17 26|2000| 4.09|G8III-I|35.50| 0.10|-0.30|HIP26366
HIP26369 |05 36 55.1|-47 57 48|2000| 9.84|---    |24.20| 0.01| 0.02|HIP26369
HIP26373 |05 36 56.9|-47 57 52|2000| 7.95|K0V    |23.80| 0.03| 0.00|HIP26373
HIP26394 |05 37 09.9|-80 28 08|2000| 5.65|G3IV   |18.20| 0.31| 1.05|HIP26394
HIP26501 |05 38 09.4|-46 06 21|2000| 7.33|G5     |25.20|-0.13|-0.47|HIP26501
HIP26505 |05 38 11.9|+51 26 44|2000| 7.74|K2V    |20.50|-0.55| 0.11|HIP26505
HIP26563 |05 38 53.1|-07 12 46|2000| 4.77|A4V    |47.00|-0.01|-0.05|HIP26563
HIP26624 |05 39 31.1|-03 33 52|2000| 5.99|A8Vs   |41.30| 0.00| 0.00|HIP26624
HIP26779 |05 41 20.3|+53 28 51|2000| 6.21|K1V    |12.20| 0.00|-0.52|HIP26779
HIP26801 |05 41 30.7|+53 29 23|2000| 9.78|M1     |12.40| 0.00|-0.52|HIP26801
HIP26857 |05 42 09.3|+12 29 21|2000|11.50|M5     | 5.78| 2.00|-1.57|HIP26857
HIP27072 |05 44 27.8|-22 26 54|2000| 3.59|F7V    | 8.96|-0.29|-0.37|HIP27072
HIP27075 |05 44 28.4|-20 07 35|2000| 6.34|F8/G0V |25.50|-0.02| 0.04|HIP27075
HIP27080 |05 44 31.9|-70 08 36|2000| 8.09|K0V    |25.50|-0.31| 1.24|HIP27080
HIP27100 |05 44 46.4|-65 44 07|2000| 4.34|A7V    |44.40|-0.03| 0.01|HIP27100
HIP27188 |05 45 48.3|+62 14 12|2000| 9.02|M0     |13.60| 0.30|-0.79|HIP27188
HIP27207 |05 46 01.9|+37 17 04|2000| 7.34|K0V    |20.50| 0.49|-0.51|HIP27207
HIP27288 |05 46 57.3|-14 49 19|2000| 3.55|A2Vann |21.50|-0.01| 0.00|HIP27288
HIP27321 |05 47 17.1|-51 03 59|2000| 3.85|A3V    |19.20| 0.00| 0.08|HIP27321
HIP27323 |05 47 18.2|-48 31 30|2000| 9.74|M0V    |20.70| 0.03|-0.32|HIP27323
HIP27359 |05 47 40.6|-36 19 42|2000|10.70|M2     |14.90| 0.77|-0.12|HIP27359
HIP27435 |05 48 34.9|-04 05 40|2000| 5.97|G4V    |15.50| 0.06|-0.23|HIP27435
HIP27628 |05 50 57.6|-35 46 05|2000| 3.12|K1.5III|26.30| 0.06| 0.40|HIP27628
HIP27654 |05 51 19.3|-20 52 44|2000| 3.76|G8III/I|34.40| 0.23|-0.65|HIP27654
HIP27803 |05 53 00.3|-05 59 41|2000| 9.70|M0V    |20.10| 0.00|-0.35|HIP27803
HIP27887 |05 54 04.2|-60 01 24|2000| 7.17|K3V    |12.80|-0.05|-0.06|HIP27887
HIP27890 |05 54 06.1|-63 05 22|2000| 4.65|K1III/I|27.20| 0.12| 0.57|HIP27890
HIP27896 |05 54 10.8|-50 21 45|2000| 6.53|K1V    |34.80| 0.09| 0.55|HIP27896
HIP27913 |05 54 23.0|+20 16 34|2000| 4.39|G0V    | 8.66|-0.16|-0.10|HIP27913
HIP27918 |05 54 28.6|+02 08 32|2000| 8.84|K3V    |26.60| 0.08|-0.65|HIP27918
HIP27922 |05 54 30.2|-19 42 15|2000| 7.51|G6V    |22.70| 0.09|-0.03|HIP27922
HIP27947 |05 54 50.1|-52 38 07|2000| 5.29|F0Ve...|34.90|-0.02| 0.24|HIP27947
HIP28103 |05 56 24.3|-14 10 03|2000| 3.71|F1V    |15.00|-0.04| 0.14|HIP28103
HIP28267 |05 58 21.5|-04 39 02|2000| 6.99|G0     |23.20| 0.07|-0.20|HIP28267
HIP28368 |05 59 37.7|+58 35 34|2000|10.20|M1     |13.50| 0.01|-0.25|HIP28368
HIP28442 |06 00 19.5|-31 01 43|2000| 7.85|K3/K4V |14.90|-0.38| 1.02|HIP28442
HIP28614 |06 02 23.0|+09 38 50|2000| 4.12|Am...  |46.50| 0.01|-0.04|HIP28614
HIP28764 |06 04 28.4|-45 02 11|2000| 6.35|G0IV-V |26.60|-0.08| 0.25|HIP28764
HIP28790 |06 04 40.1|-45 04 44|2000| 5.93|F4V    |27.00|-0.08| 0.25|HIP28790
